,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,03/06/2021 12:11,03/06/2021,ETON,"Eton Pharmaceuticals, Inc.",Brynjelsen Sean,"Pres, CEO",P - Purchase,$5.96,5000,1054940,0%,"+$29,800",
M,04/06/2021 20:26,03/06/2021,DYAI,Dyadic International Inc,Rawson Ping Wang,CFO,P - Purchase,$3.73,11000,45500,32%,"+$41,066",
,02/06/2021 16:07,02/06/2021,BKI,"Black Knight, Inc.",Jabbour Anthony M,CEO,P - Purchase,$71.77,13900,588313,2%,"+$997,603",
,02/06/2021 20:20,02/06/2021,DNB,"Dun & Bradstreet Holdings, Inc.",Jabbour Anthony M,CEO,P - Purchase,$20.96,47700,5055700,1%,"+$999,620",
,03/06/2021 16:33,02/06/2021,DYAI,Dyadic International Inc,Rawson Ping Wang,CFO,P - Purchase,$3.70,16000,34500,86%,"+$59,200",
,03/06/2021 18:02,02/06/2021,DNB,"Dun & Bradstreet Holdings, Inc.",Hipsher Bryan T.,CFO,P - Purchase,$21.00,3000,642818,0%,"+$63,000",
,01/06/2021 16:03,01/06/2021,WMPN,William Penn Bancorporation,Logan Jonathan Thomas,"EVP, CFO",P - Purchase,$11.26,5000,6611,310%,"+$56,275",
,02/06/2021 09:58,01/06/2021,KBAL,Kimball International Inc,Wolfe Timothy J,"EVP, CFO",P - Purchase,$13.53,10000,20000,100%,"+$135,276",
,28/05/2021 13:38,28/05/2021,NIHK,"Video River Networks, Inc.","Video River Networks, Inc.","Pres, CEO, 10%",P - Purchase,$0.05,1569890,33081120,5%,"+$73,628",
D,28/05/2021 17:03,28/05/2021,PAY,"Paymentus Holdings, Inc.",Parson Matt,CFO,P - Purchase,$21.00,4761,4761,New,"+$99,981",
,28/05/2021 19:15,28/05/2021,TRUL,Trulieve Cannabis Corp.,D'Amico Alex,CFO,P - Purchase,$38.00,660,2160,44%,"+$25,077",
,27/05/2021 12:07,27/05/2021,FWAC,Fifth Wall Acquisition Corp. III,Mykhaylovskyy Andriy,CFO,P - Purchase,$10.00,907000,907000,New,"+$9,070,000",
,27/05/2021 12:09,27/05/2021,FWAC,Fifth Wall Acquisition Corp. III,Wallace Brendan,"COB, CEO",P - Purchase,$10.00,907000,907000,New,"+$9,070,000",
,27/05/2021 16:10,27/05/2021,ACHV,"Achieve Life Sciences, Inc.",Bencich John,CEO,P - Purchase,$7.00,6000,6141,>999%,"+$42,000",
,28/05/2021 07:00,27/05/2021,NBA,New Beginnings Acquisition Corp.,Liebowitz Michael,"CEO, 10%",P - Purchase,$9.97,5000,3410061,0%,"+$49,850",
,27/05/2021 06:00,26/05/2021,NBA,New Beginnings Acquisition Corp.,Liebowitz Michael,"CEO, 10%",P - Purchase,$9.98,5000,3405061,0%,"+$49,900",
,27/05/2021 12:17,26/05/2021,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,$26.21,2000,45617,5%,"+$52,410",
,27/05/2021 12:19,26/05/2021,BHLB,Berkshire Hills Bancorp Inc,Basu Subhadeep,"SEVP, CFO",P - Purchase,$26.25,3000,12465,32%,"+$78,743",
,26/05/2021 07:42,25/05/2021,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.64,400000,225967822,0%,"+$1,455,972",
,26/05/2021 09:03,25/05/2021,PLAG,Planet Green Holdings Corp.,Zhou Bin,"CEO, 10%",P - Purchase,$2.50,1320000,2942000,81%,"+$3,300,000",
,26/05/2021 16:06,25/05/2021,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,$27.02,2000,43617,5%,"+$54,043",
M,26/05/2021 16:54,25/05/2021,AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, Pres, 10%",P - Purchase,$35.58,30000,10621363,0%,"+$1,067,500",
,26/05/2021 21:28,25/05/2021,IMNM,Immunome Inc.,Sarma Purnanand D,"Pres, CEO",P - Purchase,$18.41,10500,10500,New,"+$193,305",
,24/05/2021 16:17,24/05/2021,GPMT,Granite Point Mortgage Trust Inc.,Taylor John A,"Pres, CEO",P - Purchase,$14.21,9000,238445,4%,"+$127,890",
,25/05/2021 13:38,24/05/2021,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,$26.99,2000,41617,5%,"+$53,990",
,25/05/2021 16:49,24/05/2021,DISCK,"Discovery, Inc.",Wiedenfels Gunnar,CFO,P - Purchase,$29.09,25000,75000,50%,"+$727,250",
,21/05/2021 18:05,21/05/2021,PASG,"Passage Bio, Inc.",Goldsmith Bruce A,"CEO, Pres",P - Purchase,$13.12,2000,5983,50%,"+$26,230",
,21/05/2021 18:09,21/05/2021,PASG,"Passage Bio, Inc.",Morris Richard Steven,CFO,P - Purchase,$13.82,2171,5454,66%,"+$30,000",
,20/05/2021 17:25,20/05/2021,TCS,"Container Store Group, Inc.",Malhotra Satish,"CEO, Pres",P - Purchase,$12.25,20500,70600,41%,"+$251,125",
,20/05/2021 18:55,20/05/2021,MTCR,"Metacrine, Inc.",Klassen Preston,"Pres, CEO",P - Purchase,$3.64,20547,20547,New,"+$74,692",
,21/05/2021 06:00,20/05/2021,NBA,New Beginnings Acquisition Corp.,Liebowitz Michael,"CEO, 10%",P - Purchase,$9.98,24061,3400061,1%,"+$240,248",
,21/05/2021 18:33,20/05/2021,XDSL,"Mphase Technologies, Inc.",Bhatnagar Anshu,"CEO, 10%",P - Purchase,$0.33,305000,40316351,1%,"+$100,864",
,19/05/2021 14:19,19/05/2021,BIOL,"Biolase, Inc",Beaver John R,"Pres, CEO",P - Purchase,$0.75,40000,516530,8%,"+$30,000",
D,19/05/2021 17:41,19/05/2021,ET,Energy Transfer LP,Whitehurst Bradford D.,CFO,P - Purchase,$10.14,5000,774552,1%,"+$50,681",
,20/05/2021 06:00,19/05/2021,NBA,New Beginnings Acquisition Corp.,Liebowitz Michael,"CEO, 10%",P - Purchase,$10.01,10000,3376000,0%,"+$100,055",
,20/05/2021 10:19,19/05/2021,HRTH,Harte Hanks Inc,Benett Andrew B,CEO,P - Purchase,$5.70,17000,430500,4%,"+$96,900",
,20/05/2021 16:12,19/05/2021,POOL,Pool Corp,Arvan Peter D,"Pres, CEO",P - Purchase,$429.30,465,60148,1%,"+$199,625",
,20/05/2021 17:32,19/05/2021,DDD,3D Systems Corp,Graves Jeffrey A,"Pres, CEO",P - Purchase,$24.71,4100,547335,1%,"+$101,311",
,20/05/2021 18:59,19/05/2021,SRRA,"Sierra Oncology, Inc.",Dilly Stephen George,"CEO, Pres",P - Purchase,$17.83,5000,5000,New,"+$89,150",
,18/05/2021 16:18,18/05/2021,EPD,Enterprise Products Partners L.P.,Teague Aj,Co-CEO,P - Purchase,$24.18,5000,2237055,0%,"+$120,895",
,19/05/2021 08:30,18/05/2021,AGRX,Agile Therapeutics Inc,Altomari Alfred,CEO,P - Purchase,$1.61,20000,488710,4%,"+$32,200",
M,19/05/2021 15:30,18/05/2021,GIFI,Gulf Island Fabrication Inc,Heo Richard W.,"Pres, CEO",P - Purchase,$4.48,20000,409998,5%,"+$89,500",
M,19/05/2021 15:34,18/05/2021,MDRR,"Medalist Diversified Reit, Inc.",Winn Charles Brent Jr.,CFO,P - Purchase,$1.43,22000,87487,34%,"+$31,352",
,19/05/2021 16:52,18/05/2021,GTX,Garrett Motion Inc.,Rabiller Olivier,"Pres, CEO",P - Purchase,$6.60,25000,146800,21%,"+$165,000",
,17/05/2021 09:14,17/05/2021,AP,Ampco Pittsburgh Corp,McBrayer Brett,CEO,P - Purchase,$6.46,10000,169469,6%,"+$64,560",
,18/05/2021 08:36,17/05/2021,KBAL,Kimball International Inc,Wolfe Timothy J,"EVP, CFO",P - Purchase,$12.98,10000,10000,New,"+$129,820",
,18/05/2021 09:00,17/05/2021,NTWK,Netsol Technologies Inc,Ghauri Najeeb,CEO,P - Purchase,$3.90,9500,794701,1%,"+$37,020",
,18/05/2021 11:36,17/05/2021,URGN,Urogen Pharma Ltd.,Henderson Molly,CFO,P - Purchase,$15.85,2500,2500,New,"+$39,625",
,13/05/2021 18:47,13/05/2021,CNP,Centerpoint Energy Inc,Lesar David J,"Pres, CEO",P - Purchase,$23.58,50000,329722,18%,"+$1,179,000",
,14/05/2021 17:16,13/05/2021,AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, Pres, 10%",P - Purchase,$34.43,15672,10591363,0%,"+$539,587",
,14/05/2021 20:31,13/05/2021,EXTN,Exterran Corp,Way Andrew James,"Pres, CEO",P - Purchase,$4.70,20000,460526,5%,"+$94,000",
,12/05/2021 11:51,12/05/2021,CNNE,"Cannae Holdings, Inc.",Coy Bryan D.,CFO,P - Purchase,$35.83,1000,2000,100%,"+$35,830",
,13/05/2021 16:52,12/05/2021,JOE,St Joe Co,Gonzalez Jorge Luis,Pres - CEO,P - Purchase,$41.79,1000,22080,5%,"+$41,790",
,13/05/2021 17:40,12/05/2021,AMR,"Alpha Metallurgical Resources, Inc.",Stetson David J.,CEO,P - Purchase,$14.52,5000,250365,2%,"+$72,619",
,11/05/2021 18:05,11/05/2021,AEIS,Advanced Energy Industries Inc,Kelley Stephen Douglas,"Pres, CEO",P - Purchase,$85.00,5850,27902,27%,"+$497,250",
,11/05/2021 21:17,11/05/2021,CWH,"Camping World Holdings, Inc.",Lemonis Marcus,"CEO, 10%",P - Purchase,$43.18,2330,639103,0%,"+$100,605",
,12/05/2021 09:05,11/05/2021,CNP,Centerpoint Energy Inc,Wells Jason P.,"EVP, CFO",P - Purchase,$24.06,10000,107416,10%,"+$240,600",
,12/05/2021 14:08,11/05/2021,OPCH,"Option Care Health, Inc.",Shapiro Michael H.,CFO,P - Purchase,$16.33,2500,2500,New,"+$40,825",
,12/05/2021 14:11,11/05/2021,OPCH,"Option Care Health, Inc.",Rademacher John Charles,CEO,P - Purchase,$16.42,10000,10000,New,"+$164,236",
,12/05/2021 16:32,11/05/2021,AUPH,Aurinia Pharmaceuticals Inc.,Greenleaf Peter,CEO,P - Purchase,$10.71,5125,13453,62%,"+$54,891",
,12/05/2021 16:31,11/05/2021,AGRX,Agile Therapeutics Inc,Reilly Dennis,CFO,P - Purchase,$1.35,20000,201306,11%,"+$27,000",
,11/05/2021 07:36,10/05/2021,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.65,75000,225567822,0%,"+$273,745",
,11/05/2021 08:02,10/05/2021,CSII,Cardiovascular Systems Inc,Points Jeffrey S.,CFO,P - Purchase,$34.20,1000,82177,1%,"+$34,200",
D,11/05/2021 08:03,10/05/2021,CSII,Cardiovascular Systems Inc,Ward Scott R.,"COB, CEO",P - Purchase,$34.41,1000,507815,0%,"+$34,410",
,11/05/2021 16:43,10/05/2021,TTI,Tetra Technologies Inc,Serrano Elijio V,"SVP, CFO",P - Purchase,$3.31,15000,726534,2%,"+$49,650",
,07/05/2021 13:51,07/05/2021,HFC,Hollyfrontier Corp,Jennings Michael,"CEO, Pres",P - Purchase,$34.98,7500,179835,4%,"+$262,350",
,06/05/2021 13:32,06/05/2021,MAXR,Maxar Technologies Inc.,Jablonsky Daniel L,"Pres, CEO",P - Purchase,$28.06,2000,404144,0%,"+$56,121",
,06/05/2021 13:35,06/05/2021,MAXR,Maxar Technologies Inc.,Porter Biggs C,"EVP, CFO",P - Purchase,$28.00,3400,292120,1%,"+$95,200",
,06/05/2021 14:45,06/05/2021,RILY,"B. Riley Financial, Inc.",Moore Andrew,"CEO B. Riley Securities, Inc.",P - Purchase,$67.68,5000,212734,2%,"+$338,424",
,07/05/2021 07:04,06/05/2021,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.91,25000,225417822,0%,"+$97,783",
D,07/05/2021 09:43,06/05/2021,MEC,"Mayville Engineering Company, Inc.",Kamphuis Robert D,"COB, Pres, CEO",P - Purchase,$16.32,10000,391773,3%,"+$163,158",
,07/05/2021 10:36,06/05/2021,BBGI,Beasley Broadcast Group Inc,Beasley Caroline,"CEO, 10%",P - Purchase,$2.49,20577,290259,8%,"+$51,237",
M,07/05/2021 16:47,06/05/2021,AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, Pres, 10%",P - Purchase,$34.90,30872,10519465,0%,"+$1,077,429",
M,07/05/2021 20:00,06/05/2021,AFI,"Armstrong Flooring, Inc.",Trojanowski Amy,"SVP, CFO",P - Purchase,$5.58,30000,30000,New,"+$167,300",
,05/05/2021 16:20,05/05/2021,PWOD,Penns Woods Bancorp Inc,Grafmyre Richard A,CEO,P - Purchase,$23.36,1500,9493,19%,"+$35,044",
,06/05/2021 14:03,05/05/2021,BHLB,Berkshire Hills Bancorp Inc,Basu Subhadeep,"SEVP, CFO",P - Purchase,$23.70,5000,9465,112%,"+$118,500",
,06/05/2021 14:04,05/05/2021,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,$24.51,6000,22617,36%,"+$147,060",
,06/05/2021 16:41,05/05/2021,WY,Weyerhaeuser Co,Loewe Nancy S.,"SVP, CFO",P - Purchase,$38.56,10000,31627,46%,"+$385,562",
,05/05/2021 07:59,04/05/2021,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.94,25000,225392822,0%,"+$98,481",
,05/05/2021 17:01,04/05/2021,CRVS,"Corvus Pharmaceuticals, Inc.",Miller Richard A Md,"Pres, CEO",P - Purchase,$2.80,35714,1314229,3%,"+$99,999",
M,04/05/2021 17:04,03/05/2021,HSTM,Healthstream Inc,Frist Robert A Jr,"CEO, 10%",P - Purchase,$24.82,9000,4856450,0%,"+$223,390",
,04/05/2021 17:14,03/05/2021,ROK,"Rockwell Automation, Inc",Gangestad Nicholas C,"SVP, CFO",P - Purchase,$262.11,500,500,New,"+$131,055",
,30/04/2021 17:08,29/04/2021,VIHD,Vision Hydrogen Corp,Hidalgo Andy,CEO,P - Purchase,$0.20,250000,250000,New,"+$50,000",
,30/04/2021 18:28,29/04/2021,GBX,Greenbrier Companies Inc,Furman William A,"COB, CEO",P - Purchase,$48.20,10000,572518,2%,"+$481,968",
,29/04/2021 19:40,28/04/2021,PQE,Petroteq Energy Inc.,Blyumkin Aleksandr,"Exe. COB, Interim CEO",P - Purchase,$0.06,1166666,25931940,5%,"+$70,000",
,28/04/2021 09:15,27/04/2021,BANC,"Banc of California, Inc.",Wolff Jared M,"Pres, CEO",P - Purchase,$17.75,5600,253375,2%,"+$99,413",
,28/04/2021 16:30,27/04/2021,SWIM,"Latham Group, Inc.",Borseth J Mark,CFO,P - Purchase,$19.00,10000,1159613,1%,"+$190,000",
,28/04/2021 16:34,27/04/2021,SWIM,"Latham Group, Inc.",Rajeski Scott Michael,CEO,P - Purchase,$19.00,15000,4437388,0%,"+$285,000",
,27/04/2021 16:03,26/04/2021,NBSE,"Neubase Therapeutics, Inc.",Stephan Dietrich A,"Pres, CEO, 10%",P - Purchase,$5.00,12000,1298344,1%,"+$60,000",
,19/04/2021 16:10,19/04/2021,JOB,Gee Group Inc.,Thorpe Kim D,"SVP, CFO",P - Purchase,$0.60,83333,592657,16%,"+$50,000",
,19/04/2021 16:15,19/04/2021,NRZ,New Residential Investment Corp.,Nierenberg Michael,"COB, CEO, Pres",P - Purchase,$10.10,100000,1195119,9%,"+$1,010,000",
,19/04/2021 17:09,19/04/2021,JOB,Gee Group Inc.,Dewan Derek E,CEO,P - Purchase,$0.60,166666,2052382,9%,"+$100,000",
,14/04/2021 16:12,14/04/2021,MBTCU,Nocturne Acquisition Corp,Ao Ka Seng,"CFO, 10%",P - Purchase,$10.00,15000,465000,3%,"+$150,000",
,14/04/2021 16:13,14/04/2021,MBTCU,Nocturne Acquisition Corp,Monzon Henry,"COB, CEO, 10%",P - Purchase,$10.00,15000,465000,3%,"+$150,000",
,15/04/2021 17:45,14/04/2021,LNDC,Landec Corp ca,Bolles Albert D.,CEO,P - Purchase,$10.61,9000,45152,25%,"+$95,490",
,14/04/2021 07:30,13/04/2021,GLSI,"Greenwich Lifesciences, Inc.",Patel Snehal,"CEO, CFO",P - Purchase,$36.98,2700,7782458,0%,"+$99,853",
,06/04/2021 16:18,06/04/2021,COMP,"Compass, Inc.",Reffkin Robert L.,"COB, CEO",P - Purchase,$18.00,411111,9023131,5%,"+$7,399,998",
,06/04/2021 16:15,05/04/2021,NMTR,"9 Meters Biopharma, Inc.",Sitar Edward J,CFO,P - Purchase,$1.00,50000,179338,39%,"+$50,000",
,06/04/2021 16:16,05/04/2021,NMTR,"9 Meters Biopharma, Inc.",Temperato John,CEO,P - Purchase,$1.00,100000,1077522,10%,"+$100,000",
,06/04/2021 21:56,05/04/2021,VIRI,"Virios Therapeutics, Inc.",Duncan Gregory Scott,CEO,P - Purchase,$6.17,15675,19579,402%,"+$96,757",
A,01/04/2021 17:17,31/03/2021,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Pres, CEO",P - Purchase,$10.24,3909,430170,1%,"+$40,010",
,30/03/2021 16:53,30/03/2021,AVO,"Mission Produce, Inc.",Barnard Stephen J,"Pres, CEO",P - Purchase,$17.60,11200,5146120,0%,"+$197,120",
,31/03/2021 08:00,30/03/2021,LIVX,"Livexlive Media, Inc.",Ellin Robert S,"CEO, COB, 10%",P - Purchase,$4.04,10000,17796518,0%,"+$40,355",
A,31/03/2021 16:08,30/03/2021,RYTM,"Rhythm Pharmaceuticals, Inc.",Meeker David P,"Pres, CEO",P - Purchase,$20.17,10000,111335,10%,"+$201,713",
,29/03/2021 18:42,29/03/2021,REVG,"Rev Group, Inc.",Rushing Rodney M,CEO,P - Purchase,$17.98,16750,948995,2%,"+$301,165",
,25/03/2021 20:44,25/03/2021,MAXR,Maxar Technologies Inc.,Jablonsky Daniel L,"Pres, CEO",P - Purchase,$35.72,1500,373879,0%,"+$53,577",
,24/03/2021 19:47,24/03/2021,ADVM,"Adverum Biotechnologies, Inc.",Fischer Laurent,"CEO, Dir",P - Purchase,$9.88,10000,26292,61%,"+$98,780",
,23/03/2021 17:23,23/03/2021,AGRX,Agile Therapeutics Inc,Reilly Dennis,CFO,P - Purchase,$2.05,50000,181306,38%,"+$102,500",
,23/03/2021 17:24,23/03/2021,AGRX,Agile Therapeutics Inc,Altomari Alfred,CEO,P - Purchase,$2.00,12500,468710,3%,"+$25,030",
,24/03/2021 18:54,23/03/2021,ADV,Advantage Solutions Inc.,Stevens Brian,"CFO, COO",P - Purchase,$11.61,4310,4310,New,"+$50,039",
,24/03/2021 18:57,23/03/2021,ADV,Advantage Solutions Inc.,Kaye Dean,CFO - North America,P - Purchase,$11.56,2582,24457,12%,"+$29,848",
,24/03/2021 19:21,23/03/2021,SIOX,Sio Gene Therapies Inc.,Cheruvu Pavan,CEO,P - Purchase,$2.48,100000,180426,124%,"+$248,180",
,23/03/2021 09:01,22/03/2021,TURN,180 Degree Capital Corp. /ny/,Rendino Kevin,"COB, CEO",P - Purchase,$7.39,3720,378138,1%,"+$27,491",
,17/03/2021 16:47,17/03/2021,AMR,"Alpha Metallurgical Resources, Inc.",Stetson David J.,CEO,P - Purchase,$12.18,10000,245365,4%,"+$121,751",
,17/03/2021 21:59,17/03/2021,AIRG,Airgain Inc,Suen Jacob,"Pres, CEO",P - Purchase,$23.14,2000,117598,2%,"+$46,280",
,16/03/2021 18:16,16/03/2021,HAYW,"Hayward Holdings, Inc.",Holleran Kevin,"Pres, CEO",P - Purchase,$17.00,8000,459135,2%,"+$136,000",
,16/03/2021 18:24,16/03/2021,HAYW,"Hayward Holdings, Inc.",Jones Eifion,"SVP, CFO",P - Purchase,$17.00,6500,6500,New,"+$110,500",
D,17/03/2021 17:32,16/03/2021,GOCO,"Gohealth, Inc.",Jones Clinton P.,"CEO, 10%",P - Purchase,$11.38,178000,93034842,0%,"+$2,025,462",
D,17/03/2021 19:33,16/03/2021,HCHC,"Hc2 Holdings, Inc.",Barr Wayne Jr,"Pres, CEO",P - Purchase,$3.66,7500,266219,3%,"+$27,425",
,16/03/2021 17:06,15/03/2021,BXRX,"Baudax Bio, Inc.",Casten Richard S,CFO,P - Purchase,$1.41,25000,125000,25%,"+$35,180",
M,12/03/2021 17:25,12/03/2021,BKEP,"Blueknight Energy Partners, L.P.",Woodward D Andrew,CEO,P - Purchase,$3.25,15385,344993,5%,"+$50,000",
,12/03/2021 19:43,12/03/2021,INNV,Innovage Holding Corp.,Hewitt Maureen,"CEO, Pres, Dir",P - Purchase,$26.62,9350,9350,New,"+$248,897",
,11/03/2021 17:39,11/03/2021,FIBK,First Interstate Bancsystem Inc,Riley Kevin P,"Pres, CEO",P - Purchase,$49.57,1400,103379,1%,"+$69,398",
,09/03/2021 18:59,09/03/2021,EVFM,"Evofem Biosciences, Inc.",Pelletier Saundra L,CEO,P - Purchase,$2.28,45249,906137,5%,"+$103,168",
,08/03/2021 19:04,08/03/2021,DX,Dynex Capital Inc,Boston Byron L,"CEO, Co-CIO",P - Purchase,$18.35,1635,341047,0%,"+$30,002",
,09/03/2021 18:56,08/03/2021,MORF,"Morphic Holding, Inc.",Schegerin Marc,"CFO, COO",P - Purchase,$63.50,3000,6379,89%,"+$190,514",
M,05/03/2021 12:30,05/03/2021,CLF,Cleveland-Cliffs Inc.,Koci Keith,"EVP, CFO",P - Purchase,$13.45,15000,210033,8%,"+$201,735",
,05/03/2021 16:41,05/03/2021,BASI,Bioanalytical Systems Inc,Taylor Beth,"VP- Finance, CFO",P - Purchase,$17.70,5000,34295,17%,"+$88,500",
,04/03/2021 16:41,04/03/2021,CWH,"Camping World Holdings, Inc.",Lemonis Marcus,"CEO, 10%",P - Purchase,$31.68,3147,633595,0%,"+$99,697",
,04/03/2021 17:15,04/03/2021,FLXS,Flexsteel Industries Inc,Schmidt Derek P,"CFO, COO",P - Purchase,$32.65,1533,156104,1%,"+$50,052",
,05/03/2021 14:20,04/03/2021,SPB,"Spectrum Brands Holdings, Inc.",Maura David M,"Exec COB, CEO",P - Purchase,$77.08,2500,473983,1%,"+$192,700",
,03/03/2021 16:46,03/03/2021,CWH,"Camping World Holdings, Inc.",Lemonis Marcus,"CEO, 10%",P - Purchase,$32.04,3127,630448,0%,"+$100,189",
D,03/03/2021 18:15,03/03/2021,KW,"Kennedy-Wilson Holdings, Inc.",McMorrow William J,CEO,P - Purchase,$19.41,50000,12456928,0%,"+$970,500",
,04/03/2021 08:45,03/03/2021,EVRG,"Evergy, Inc.",Campbell David A,"Pres, CEO",P - Purchase,$52.92,10000,64054,19%,"+$529,195",
,04/03/2021 08:49,03/03/2021,EVRG,"Evergy, Inc.",Andrews Kirkland B,EVP - CFO,P - Purchase,$53.48,10000,14216,237%,"+$534,779",
,04/03/2021 11:13,03/03/2021,ENR,"Energizer Holdings, Inc.",Lavigne Mark Stephen,CEO,P - Purchase,$41.98,3000,137082,2%,"+$125,946",
D,04/03/2021 15:37,03/03/2021,D,"Dominion Energy, Inc",Blue Robert M,"Pres, CEO",P - Purchase,$69.44,14402,142998,11%,"+$999,998",
D,04/03/2021 19:46,03/03/2021,SSTI,"Shotspotter, Inc",Stewart Alan R.,CFO,P - Purchase,$38.00,7500,75562,11%,"+$285,000",
,03/03/2021 08:59,02/03/2021,ADC,Agree Realty Corp,Leopold Simon,"CFO, EVP, Secretary",P - Purchase,$63.75,2000,17529,13%,"+$127,500",
,03/03/2021 08:59,02/03/2021,ADC,Agree Realty Corp,Agree Joey,"Pres, CEO",P - Purchase,$63.61,7870,444201,2%,"+$500,611",
,03/03/2021 11:07,02/03/2021,BHE,Benchmark Electronics Inc,Lakkaraju Roop Kalyan,"EVP, CFO",P - Purchase,$29.64,1680,73595,2%,"+$49,790",
,03/03/2021 16:21,02/03/2021,DISCA,"Discovery, Inc.",Wiedenfels Gunnar,CFO,P - Purchase,$48.50,40000,266342,18%,"+$1,940,000",
,03/03/2021 17:32,02/03/2021,IHRT,"Iheartmedia, Inc.",Pittman Robert W,"CEO, Dir",P - Purchase,$15.31,13115,593228,2%,"+$200,778",
,02/03/2021 11:23,01/03/2021,PRMW,Primo Water Corp /cn/,Harrington Thomas,CEO,P - Purchase,$14.53,35000,571173,7%,"+$508,375",
,24/02/2021 12:03,24/02/2021,AIM,Aim Immunotech Inc.,Equels Thomas K.,"CEO, Pres",P - Purchase,$2.26,11062,209630,6%,"+$25,000",
,24/02/2021 16:29,24/02/2021,BASI,Bioanalytical Systems Inc,Leasure Robert Jr.,"Pres, CEO",P - Purchase,$14.42,5000,231549,2%,"+$72,100",
,24/02/2021 16:28,24/02/2021,CSBB,Csb Bancorp Inc /oh,Steiner Eddie L,"Pres, CEO",P - Purchase,$37.74,700,41775,2%,"+$26,418",
,23/02/2021 16:54,23/02/2021,INCY,Incyte Corp,Hoppenot Herve,"COB , CEO",P - Purchase,$77.37,12925,350465,4%,"+$1,000,007",
,23/02/2021 17:26,23/02/2021,RICK,"Rci Hospitality Holdings, Inc.",Chhay Bradley Lim,CFO,P - Purchase,$60.00,650,4020,19%,"+$39,000",
,24/02/2021 19:13,23/02/2021,GHL,Greenhill & Co Inc,Bok Scott L,"COB, CEO, 10%",P - Purchase,$14.91,33095,2254597,1%,"+$493,420",
,22/02/2021 19:40,22/02/2021,QDEL,Quidel Corp /de/,Bryant Douglas C,"Pres, CEO",P - Purchase,$165.30,5000,495807,1%,"+$826,500",
,23/02/2021 16:15,22/02/2021,GTYH,Gty Technology Holdings Inc.,Parass Tj,"CEO, Pres",P - Purchase,$6.95,19100,29100,191%,"+$132,669",
M,23/02/2021 17:25,22/02/2021,CNDT,Conduent Inc,Skelton Clifford,CEO,P - Purchase,$4.85,20661,1916931,1%,"+$100,206",
,18/02/2021 16:05,18/02/2021,HEPA,"Hepion Pharmaceuticals, Inc.",Foster Robert T,"CEO, Dir",P - Purchase,$2.00,20000,45259,79%,"+$40,000",
,17/02/2021 16:44,17/02/2021,CRVS,"Corvus Pharmaceuticals, Inc.",Miller Richard A Md,"Pres, CEO",P - Purchase,$3.50,100000,1278515,8%,"+$350,000",
,18/02/2021 16:23,17/02/2021,TWO,Two Harbors Investment Corp.,Greenberg William Ross,"Pres, CEO",P - Purchase,$6.58,35000,190274,23%,"+$230,183",
,18/02/2021 16:44,17/02/2021,EMCF,Emclaire Financial Corp,Marsh William C,"COB, Pres, CEO",P - Purchase,$25.78,1200,71642,2%,"+$30,940",
,16/02/2021 17:37,16/02/2021,MITI,"Mitesco, Inc.",Diamond Lawrence M.,CEO,P - Purchase,$23.83,2100,3637471,0%,"+$50,040",
,17/02/2021 17:53,16/02/2021,SONA,Southern National Bancorp of Virginia Inc,Switzer Matthew Alan,"EVP, CFO",P - Purchase,$12.88,50000,58000,625%,"+$644,000",
M,17/02/2021 20:24,16/02/2021,SGFY,"Signify Health, Inc.",Armbrester Bradford Kyle,CEO,P - Purchase,$24.00,13900,6004978,0%,"+$333,600",
,11/02/2021 17:35,11/02/2021,DNB,"Dun & Bradstreet Holdings, Inc.",Jabbour Anthony M,CEO,P - Purchase,$23.26,42900,4644528,1%,"+$998,038",
DM,11/02/2021 17:37,11/02/2021,DNB,"Dun & Bradstreet Holdings, Inc.",Hipsher Bryan T.,CFO,P - Purchase,$23.30,5000,537591,1%,"+$116,500",
M,11/02/2021 08:02,10/02/2021,BW,"Babcock & Wilcox Enterprises, Inc.",Young Kenneth M,CEO,P - Purchase,$5.85,17094,961334,2%,"+$100,000",
D,11/02/2021 12:14,10/02/2021,CFBK,Cf Bankshares Inc.,O'Dell Timothy T,CEO,P - Purchase,$18.05,2000,226481,1%,"+$36,100",
