ticker,positionState,openTime,closeTime
FAKE,FAKE,1.0,1e+20
FFIN,open,1631549006.930646,1631635406.930498
PWOD,open,1631549011.578429,1631635411.578326
CZWI,open,1631550820.182089,1631637220.181736
OPOF,open,1631550824.703459,1631637224.703133
CCNE,open,1631551130.139764,1631637530.139512
